"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
106;"SW17";"Kailh-PG1353-Hotswap-1U";1;"MULT";;;
107;"SW16";"Kailh-PG1353-Hotswap-1U";1;"DIV";;;
108;"SW15";"Kailh-PG1353-Hotswap-1U";1;"NUMLCK";;;
109;"R6,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
110;"R4,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
111;"R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22";;;
112;"J1";"PinSocket_2x05_P2.54mm_Vertical";1;"Conn_ARM_JTAG_SWD_10";;;
113;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"500mA";;;
114;"C9,C8,C7,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1µF";;;
115;"C6,C5,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"0.1µF";;;
116;"C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22pF";;;
117;"SW84";"Kailh-PG1353-Hotswap-2.75U";1;"RSHFT";;;
118;"SW72";"Kailh-PG1353-Hotswap-1.25U";1;"LSHFT";;;
